book_id;ISBN;title;pages;cover;book_genre;thumbnail;publisher;published_year;description;state
1179;9,78E+12;The Major Works;1008;h;Literary Criticism;http://books.google.com/books/content?id=Q0xkC5CEhHQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Publisher_A;2003;This authoritative edition was originally published in the acclaimed Oxford Authors series under the general editorship of Frank Kermode. It brings together a unique combination of Milton's poetry and prose - all the English verse together with a generous selection from the major prosewritings - to give the essence of his work and thinking.Milton's influence on English poetry and criticism has been incalculable, and this edition covers the full range of his poetic and political output. It includes Paradise Lost, Paradise Regained, and Samson Agonistes as well as major prose works such as Areopagitica and The Tenure of Kings andMagistrates. As well as all the English and Italian verse, the volume includes most of the Latin and Greek verse in parallel translation. Spelling has been modernized, and the poems are arranged in order of publication, essential to an understanding of the progress of Milton's career in relationto the political and religious upheavals of his time. The extensive n;1
1180;9,78E+12;Gulliver's Travels;422;h;Fiction;http://books.google.com/books/content?id=f_0bQHhTqUoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Publisher_I;2005;"""Gulliver's travels purports to be a travel book. It is a blend of fantasy and realism and describes the shipwrecked Gulliver's encounters with the inhabitants of four places: Lilliput, Brobdingnag, Laputa, and the country of the Houyhnhnms""--Provided byp";1
1181;9,78E+12;A Christmas Carol and Other Christmas Books;438;s;Fiction;http://books.google.com/books/content?id=e4YJ2oiSjzYC&printsec=frontcover&img=1&zoom=1&source=gbs_api;Publisher_H;2006;"Collects some of the author's Christmas stories, including ""A Christmas Carol,"" in which a miser learns the true meaning of Christmas when three ghostly visitors review his past and foretell his future.";1
1182;9,78E+12;Candide and Other Stories;301;h;Fiction;http://books.google.com/books/content?id=zxJGB-_Y3Y4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Publisher_E;2006;Candide is the most famous of Voltaire's 'philosophical tales', in which he combined witty improbabilities with the sanest of good sense. This edition includes four other prose tales - Micromegas, Zadig, The Ing--ecirc--,nu, and The White Bull - and a verse tale based on Chaucer's The Wife of Bath's Tale,: What Pleases the Ladies. - ,'If this is the best of all possible worlds, then what must the others be like?' Young Candide is tossed on a hilarious tide of misfortune, experiencing the full horror and injustice of this 'best of all possible worlds' - the Old and the New - before finally accepting that his old philosophy tutor Dr Pangloss has got it all wrong. There are no grounds for his daft theory of Optimism. Yet life goes on. We must cultivate our garden, for there is certainly room for improvement. Candide is the most famous of Voltaire's 'philosophical tales', in which he combined witty improbabilities with the sanest of good sense. First published in 1759, it was an instant be;1
1183;9,78E+12;The Picture of Dorian Gray;229;h;Fiction;http://books.google.com/books/content?id=Us0gTQUSAvsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Publisher_J;2006;When Dorian Gray has his portrait painted, he is captivated by his own beauty. Set in fin-de-siecle London, this novel traces a path from the studio of painter Basil Hallward to the opium dens of the East End. Combining elements of the supernatural, aestheticism, and the Gothic, this is a work of fiction.;1
1184;9,78E+12;Confessions;676;h;Literary Criticism;http://books.google.com/books/content?id=ZinPjKdL9mEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Publisher_E;2000;When it was first published in 1781, The Confessions scandalised Europe with its emotional honesty and frank treatment of the author's sexual and intellectual development. Since then, it has had a more profound impact on European thought. Rousseau left posterity a model of the reflective life - the solitary, uncompromising individual, the enemy of servitude and habit and the selfish egoist who dedicates his life to a particular ideal. The Confessions recreates the world in which he progressed from incompetent engraver to grand success, his enthusiasm for experience, his love of nature, and his uncompromising character make him an ideal guide to eighteenth-century Europe, and he was the author of some of the most profound work ever written on the relation between the individual and the state.;1
1185;9,78E+12;La Débâcle;592;h;Fiction;http://books.google.com/books/content?id=GxNnSTI4YJsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Publisher_B;2000;Zola wrote that 'my title speaks not merely of a war, but also of the crumbling of a regime and the end of a world'. The penultimate novel of the Rougon-Macquart cycle, La Debacle (1892) takes as its subject the dramatic events of the Franco-Prussian War and the Commune of 1870-71. During Zola's lifetime it was the bestselling of all his novels, praised by contemporaries for its epic sweep as well as its attention to historical detail. The novel seeks to explain why the Second Empire ended in a crushing military defeat and revolutionary violence. It focuses on ordinary soldiers, showing their bravery and suffering in the midst of circumstances they cannot control. Zola's descriptions are some of the most powerful he ever wrote. He skilfully integrates his narrative of events and the fictional lives of his characters to provide the finest account of this tragic chapter in the history of France. Often compared to War and Peace, La Debacle has been described as a 'seminal' work for all mo;1
1186;9,78E+12;Four Gothic Novels;624;s;;http://books.google.com/books/content?id=dADYAQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;Publisher_D;1994;Macabre and melodramatic, set in haunted castles or fantastic landscapes, Gothic tales became fashionable in the late eighteenth century with the publication of Horace Walpole's The Castle of Otranto (1764). Crammed with catastrophe, terror, and ghostly interventions, the novel was an immediate success, and influenced numerous followers. These include William Beckford's Vathek (1786), which alternates grotesque comedy with scenes of exotic magnificence in the story of the ruthless Caliph Vathek's journey to damnation. The Monk (1796), by Matthew Lewis, is a violent tale of ambition, murder, and incest, set in the sinister monastery of the Capuchins in Madrid. Frankenstein (1818, 1831) is Mary Shelley's disturbing and perennially popular tale of young student who learns the secret of giving life to a creature made from human relics, with horrific consequences. This collection illustrates the range and the attraction of the Gothic novel. Extreme and sensational, each of the four printed ;1
1187;9,78E+12;The Histories;772;s;History;http://books.google.com/books/content?id=VrV5TELCHJ4C&printsec=frontcover&img=1&zoom=1&source=gbs_api;Publisher_J;1998;Provides a new translation of the classic account of the wars between the Greek city-states and Persia, and of the culture of the peoples who took part;1
1188;9,78E+12;The First Philosophers;400;h;Philosophy;http://books.google.com/books/content?id=fiDWoqLUW9AC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Publisher_I;2000;"A complete collection of philosophical writing of the Presocratics and Sophists, this book shows how ""the first philosophers"" paved the way for Plato and Aristotle, hence influencing the whole of Western thought.";1
1189;9,78E+12;The Antiquary;528;h;Fiction;http://books.google.com/books/content?id=AcdCn8k3H1IC&printsec=frontcover&img=1&zoom=1&source=gbs_api;Publisher_I;2002;'It was early in a fine summer's day, near the end of the eighteenth century, when a young man, of genteel appearance, having occasion to go towards the north-east of Scotland, provided himself with a ticket in one of those public carriages which travel between Edinburgh and the Queensferry...' So begins Scott's personal favourite among his novels, in characteristically wry and urbane style, as a mysterious young man calling himself 'Lovel' travels idly but fatefully toward the Scottish seaside town of Fairport. Here he is befriended by the antiquary Jonathan Oldbuck, who has taken refuge from his own personal disappointments in the obsessive study of miscellaneous history. Their slow unravelling of Lovel's true identity will unearth and redeem the secrets and lies which have devastated the guilt-haunted Earl of Glenallan, and will reinstate the tottering fortunes of Sir Arthur Wardour and his daughter Isabella. First published in 1816 in the aftermath of Waterloo, The Antiquary deals ;1
1190;9,78E+12;Exemplary Stories;368;h;Fiction;http://books.google.com/books/content?id=62hVBuGPwy4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Publisher_C;1998;Even more popular in their day than Don Quixote, Cervantes's Exemplary Stories (1613) surprise, challenge and delight. Ranging from the picaresque to the satirical, Cervantes's Exemplary Stories defy the conventions of heroic chivalric literature through a combination of comic irony, moral ambiguity, realism, and sheer mirth. With acute narrative skill and deft characterisation, drawing on colloquial language and farce, Cervantes creates a tension between the everyday and the literary, the plausible and the improbable. While encouraging us to reach our own moral conclusions, he also persuades us to accept the coincidental and the incredible: two boys indulge their life of crime at a time of public prayer, a young nobleman undergoes a change of identity at the behest of not a princess but a mere gipsy girl, and, most fantastically, talking dogs philosophize in a ward full of syphilitics. By placing the extraordinary within the contexts of the ordinary, the Exemplary Stories chart new no;1
1191;9,78E+12;Orestes and Other Plays;282;s;Literary Criticism;http://books.google.com/books/content?id=gX1G3qlyMK0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Publisher_C;2001;IonOrestesThe Phoenician WomenThe Suppliant WomenIn these four plays Euripides explores ethical and political themes,contrasting the claims of patriotism with family loyalty, pragmatism and expediency with justice, and the idea that 'might is right' with the ideal of clemency.Ion is a vivid portrait of the role of chance in human life and an exploration of family relationships, which combines a sympathetic portrait of a rape victim with remarks on Athenian xenophobia. In Orestes, the most popular of the tragedian's plays in the ancient world, Euripides explores theemotional consequences of Orestes' murder of his mother on the individuals concerned, and makes the tale resonate with advice to Athens about the threat to democracy posed by political pressure groups. The Suppliant Women is a commentary on the politics of empire, as the Athenian king Theseusdecides to use force of arms rather than persuasion against Thebes. The Phoenician Women transforms the terrible conflict between Oedipu;1
1192;9,78E+12;Jane Austen's Letters;672;h;Fiction;http://books.google.com/books/content?id=68O6taFYp70C&printsec=frontcover&img=1&zoom=1&source=gbs_api;Publisher_A;1997;Jane Austen's letters afford a unique insight into the daily life of the novelist: intimate and gossipy, observant and informative--they read much like the novels themselves. They bring alive her family and friends, her surroundings and contemporary events with a freshness unparalleled in modern biographies. Above all we recognize the unmistakable voice of the author of such novels as Pride and Prejudice and Sense and Sensibility. We see the shift in her writing from witty and amusing descriptions of the social life of town and country, to a thoughtful and constructive tone while writing about the business of literary composition. R.W. Chapman's ground-breaking edition of the collected Letters first appeared in 1932, and a second edition followed twenty years later. Now in this third edition of Jane Austen's Letters, Deirdre Le Faye has added new material that has come to light since 1952, and re-ordered the letters into their correct chronological sequence. She has provided discreet a;1
1193;9,78E+12;Agricola and Germany;224;h;Literary Collections;http://books.google.com/books/content?id=wS7IJv3jq7IC&printsec=frontcover&img=1&zoom=1&source=gbs_api;Publisher_G;1999;Cornelius Tacitus, Rome's greatest historian, was inspired to take up his pen when the assassination of Domitian ended `fifteen years of enforced silence'. Agricola is the biography of his late father-in-law and an account of Roman Britain. Germania gives insight into Rome's most dangerous enemies, the Germans, and is the only surviving specimen from the ancient world of an ethnographic study. Each in its way has had immense influence on our perception of Rome and the northern `barbarians' and the edition reflects recent research in Roman-British and Roman-German history. - ,`Long may the barbarians continue, I pray, if not to love us, at least to hate one another.' Cornelius Tacitus, Rome's greatest historian and the last great writer of classical Latin prose, produced his first two books in AD 98. He was inspired to take up his pen when the assassination of Domitian ended `fifteen years of enforced silence'. The first products were brief: the biography of his late father-in-law Juliu;1
1194;9,78E+12;Miss Or Mrs?;360;h;Fiction;http://books.google.com/books/content?id=GKeGDDgp9oYC&printsec=frontcover&img=1&zoom=1&source=gbs_api;Publisher_H;1999;B`..melodrama is perennial and the craving for it is perennial and must be satisfied' T. S. Eliot ('Wilkie Collins and Dickens') Collins's ability to construct a gripping situation and to create an atmosphere of mystery and menace is fully evident in the three novellas reprinted here. All proceed through a series of dramatic scenes to a climax that in one case at least is literally explosive. The fast-paced Miss or Mrs? (1871) opens on a yacht, features a remarkably unconventional heroine, and entails murder attempts, blackmail, clandestine marriage and commercial fraud. Dramatic and psychologically absorbing, the action of The Haunted Hotel (1878) takes place in an ancient Venetian palazzo converted into a modern hotel that houses a grisly secreI. Lastly, set in a beautiful water-mill, The Guilty River (1886) depicts a group of alienated characters, whose relationships threaten to erupt in violence and murder. Varied in setting and tone, these stories demonstrate Collins's plot-making;1
1195;9,78E+12;Great Expectations;505;s;Fiction;http://books.google.com/books/content?id=HByVN01euAAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Publisher_C;1998;Presents the classic story of the orphan Pip, the convict Magwitch, the beautiful Estella, and her guardian, the embittered Miss Havisham;3
1196;9,78E+12;The Canterbury Tales;465;h;Poetry;http://books.google.com/books/content?id=5WkDQniy5awC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Publisher_H;1998;Provides a modern verse translation of the story of a group of pilgrims who pass the time during their journey by telling each other tales;1
1197;9,78E+12;Complete Shorter Fiction;288;h;Fiction;http://books.google.com/books/content?id=__pdWkR_WXQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Publisher_J;1998;"For the first time in one volume, this complete collection of all the short fiction Oscar Wilde published contains such social and literary parodies as ""Lord Arthur Savile's Crime"" and ""The Canterville Ghost,"" such well-known fairy tales as ""The Happy Prince,"" ""The Young King,"" and ""The Fisherman and his Soul,"" an imaginary portrait of the dedicatee of Shakespeare's Sonnets entitled ""The Portrait of Mr. W.H.,"" and the parables Wilde referred to as ""Poems in Prose,"" including ""The Artist,"" ""The House of Judgment,"" and ""The Teacher of Wisdom.""";1
1198;9,78E+12;War and Peace;1392;s;Fiction;http://books.google.com/books/content?id=9nxfsPujsYoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Publisher_E;1998;Presents the classic epic of the Napoleonic Wars and their effects on four Russian families;1
1199;9,78E+12;The Castle of Otranto;125;h;Fiction;http://books.google.com/books/content?id=juUIspq7CGwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Publisher_I;1998;First published pseudonymously in 1764, The Castle of Otranto purported to be a translation of an Italian story of the time of the crusades. In it Walpole attempted, as he declared in the Preface to the second edition, `to blend the two kinds of romance: the ancient and the modern'. He gives us a series of catastrophes, ghostly interventions, revelations of identity, and exciting contests. Crammed with invention, entertainment, terror, and pathos, the novel was an immediate success and Walpole's own favourite among his numerous works. His friend, the poet Thomas Gray, wrote that he and his family, having read Otranto, were now `afraid to go to bed o'nights'. The novel is here reprinted from a text of 1798, the last that Walpole himself prepared for the press.;1
1200;9,78E+12;The Bostonians;504;h;Fiction;http://books.google.com/books/content?id=hGX8aqWTX_8C&printsec=frontcover&img=1&zoom=1&source=gbs_api;Publisher_D;1998;Olive Chancellor and Basil Ransom, cousins, clash, when Olive wants Verena Tarrant to use her eloquence for the woman's movement, and Basil wants Verena to give up politics and marry him.;1
1201;9,78E+12;The Divine Comedy;735;h;Poetry;http://books.google.com/books/content?id=wmacUwleJv8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Publisher_F;1998;A new blank verse translation of Dante's epic, complete with an authoritative Introduction, diagrams, maps, and notes.;3
1202;9,78E+12;Hans Andersen's Fairy Tales;376;s;Juvenile Fiction;http://books.google.com/books/content?id=5SD3l6DNFNYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Publisher_H;1998;This edition of twenty-six of Andersen's fairy tales includes an introduction, a chronology of the author's life and writings, and a bibliography.;1
1203;9,78E+12;The Karamazov Brothers;1054;s;Fiction;http://books.google.com/books/content?id=uErHu34S6bQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Publisher_F;1998;Dostoevsky's last and greatest novel, The Karamazov Brothers (1880) is both a brilliantly told crime story and a passionate philosophical debate. The dissolute landowner Fyodor Pavlovich Karamazov is murdered, his sons--the atheist intellectual Ivan, the hot-blooded Dmitry, and the saintly novice Alyosha--are all involved at some level. Brilliantly bound up with this psychological drama is Dostoevsky's intense and disturbing exploration of many deeply felt ideas about the existence of God, freedom of will, the collective nature of guilt, and the disastrous consequences of rationalism. Filled with eloquent voices, this new translation fully realizes the power and dramatic virtuosity of Dostoevsky's most brilliant work. About the Series: For over 100 years Oxford World's Classics has made available the broadest spectrum of literature from around the globe. Each affordable volume reflects Oxford's commitment to scholarship, providing the most accurate text plus a wealth of other valuable ;2
1204;9,78E+12;Daisy Miller and Other Stories;352;h;Fiction;http://books.google.com/books/content?id=siHgsquTgRIC&printsec=frontcover&img=1&zoom=1&source=gbs_api;Publisher_A;1998;The tale of Daisy's irruption into staid European society enjoyed, as did Daisy herself, asuccès de scandale, and it has remained one of Jamess most popular short stories. Like the others collected here--'Pandora,' 'The Patagonia,' and 'Four Meetings'-- it describes a confrontation between different values in a changing world. Is the new independent American girl enchanting in her spontaneity, alarming in her unpredictability, or merely vulnerable in her ignorance of social codes? Hung about with make admirers who seek, uncertainly, to grasp the new phenomenon, Daisy marches on undiscourageable, to her triumphant--or tragic--destiny. This volume contains prefaces by Henry James, a chronology of his life, and editor's notes. About the Series:For over 100 yearsOxford World's Classicshas made available the broadest spectrum of literature from around the globe. Each affordable volume reflects Oxford's commitment to scholarship, providing the most accurate text plus a wealth of other valuab;1
1205;9,78E+12;Selected Philosophical Writings;496;s;Religion;http://books.google.com/books/content?id=7Yn8Id1BEqwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Publisher_C;1998;St Thomas Aquinas (1225-1274) saw religion as part of the natural human propensity to worship. His ability to recognize the naturalness of this phenomenon and simultaneously to go beyond it, to explore spiritual revelation, makes his work fresh and highly readable today. While drawing on a strong distinction between theology and philosophy, Aquinas interleaved them intricately in his writings, which range from an examination of the structures of thought to the concept of God as the end of all things. This accessible new translation chooses substantial passages not only from the indispensable Summa Theologicae, but from many other works, fully illustrating the breadth and progression of Aquinas's philosophy.;1
1206;9,78E+12;The Ladies' Paradise;438;h;Fiction;http://books.google.com/books/content?id=iiyXsyHqh8MC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Publisher_A;1998;The Ladies' Paradise (Au Bonheur des Dames) recounts the spectacular development of the modern department store in late nineteenth century Paris. The store is a symbol of capitalism, of the modern city, and of the bourgeois family, it is emblematic of consumer culture and the changes in sexualattitudes and class relations taking place at the end of the century.Octave Mouret, the store's owner-manager, masterfully exploits the desires of his female customers. In his private life as much as in business he is the great seducer. But when he falls in love with the innocent Denise Baudu, he discovers she is the only one of the salesgirls who refuses to becommodified.This new translation of the eleventh book in the Rougon-Macquart cycle captures the spirit of one of Zola's greatest novels of the modern city.;1
1207;9,78E+12;A Sentimental Education;464;s;Fiction;http://books.google.com/books/content?id=Dn7ixiuEWeMC&printsec=frontcover&img=1&zoom=1&source=gbs_api;Publisher_H;2000;Frederic Moreau, a moderately gifted young provincial, is ambitious in many ways: he dreams of fame, of vast wealth, of literary and artistic achievement, of a grand passion. On the Paris paddle-steamer which transports him to his home town of Nogent-sur-Seine at the outset of the novel, he becomes transfixed by the demure Madame Arnoux and, back in Paris, cultivates her ebullient and enterprising husband in order to be near her. Frederic's devotion fluctuates like his other enthusiasms, and he is caught up in the intense pleasures and the inevitable ennuis of Parisian life.;1
1208;9,78E+12;Faust;304;s;Fiction;http://books.google.com/books/content?id=c3CZ8UQp_CoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Publisher_I;1998;Loosely connected with Part One and the German legend of Faust, Part Two is a dramatic epic rather than a strictly constructed drama. It is conceived as an act of homage to classical Greek culture and inspired above all by the world of story-telling and myth at the heart of the Greektradition, as well as owing some of its material to the Arabian Nights tales.The restless and ruthless hero, advised by his cynical demon-companion Mephistopheles, visits classical Greece i search of the beautiful Helen of Troy. Returning to modern times, he seeks to crown his career by gaining control of the elements, and at his death is carried up into the unkown regions,still in pursuit of the `Eternal Feminine'.David Luke's translation of Part One won the European Poetry Translation Prize. Here he again imitates the varied verse-forms of the original, and provides a highly readable - and actable - translation, supported by an introduction, full notes, and an index of classical mythology.;1
1209;9,78E+12;La Dame Aux Camélias;256;s;Fiction;http://books.google.com/books/content?id=Aqft1VzHuHkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Publisher_H;1986;This new translation successfully combines a feeling for the formal proprieties of Dumas's style with a supple and colloquial liveliness that once again proves this story irresistible. -;1
1210;9,78E+12;First Love and Other Stories;304;h;Fiction;http://books.google.com/books/content?id=J3lKucR0wcoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Publisher_F;1999;This collection brings together six of Turgenev's best-known `long' short stories, in which he turns his skills of psychological observation and black comedy to subjects as diverse as the tyranny of serfdom, love, and revenge on the Russian steppes. These stories all display the elegance andclarity of Turgenev's finest writing.Richard Freeborn was until recently Professor of Russian at the School of Slavonic and East European Studies, London.;1
1211;9,78E+12;The Confidence-man;361;h;Literary Criticism;http://books.google.com/books/content?id=Hiy9OyE-TAQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Publisher_B;1999;Male, female, deft, fraudulent, constantly shifting: which of the `masquerade' of passengers on the Mississippi steamboat Fidele is `the confidence man'? The central motif of Melville's last and most `modern' novel can be seen as a symbol of American cultural history.;1
1212;9,78E+12;The Eclogues - The Georgics;180;h;Agriculture;http://books.google.com/books/content?id=cbVpH9EbtcoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Publisher_A;1999;The Eclogues, ten short pastoral poems, were composed between approximately 42 and 39 BC, during the time of the 'Second' Triumvirate of Lepidus, Anthony, and Octavian. In them Virgil subtly blended an idealized Arcadia with contemporary history. To his Greek model - the Idylls of Theocritus - he added a strong element of Italian realism: places and people, real or disguised, and contemporary events are introduced. The Eclogues display all Virgil's art and charm and are among his mostdelightful achievements. Between approximately 39 and 29 BC, years of civil strife between Antony, and Octavian, Virgil was engaged upon the Georgics. Part agricultural manual, full of observations of animals and nature, they deal with the farmer's life and give it powerful allegorical meaning. These four books contain some of Virgil's finest descriptive writing and are generally held to be his greatest and most entertaining work, and C. Day Lewis's lyrical translations are classics in theirown right.;1
1213;9,78E+12;Scenes of Clerical Life;310;h;Fiction;http://books.google.com/books/content?id=tCfq__XvAiUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Publisher_D;2000;When Scenes of Clerical Life, George Eliot's first novel, was published anonymously in 1857, it was immediately recognized, in the words of Saturday Review, as `the production of a peculiar and remarkable writer'. The three stories that make up the Scenes, `The Sad Fortunes of the ReverendAmos Barton', `Mr Gilfil's Love Story', and `Janet's Repentance', intriguingly foreshadow George Eliot's later work. The first readers, including Dickens and Thackeray, were struck by the humorous irony, the truthfulness of the presentation of the lives of ordinary people, and the compassionateacceptance of human weakness which characterize Eliot's writing.;1
1214;9,78E+12;Jacques the Fatalist and His Master;304;s;Fiction;http://books.google.com/books/content?id=oJ7qCzCI1NIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Publisher_D;1999;'Your Jacques is a tasteless mishmash of things that happen, some of them true, others made up, written without style and served up like a dog's breakfast.'Jacques the Fatalist is Diderot's answer to the problem of existence. If human beings are determined by their genes and their environment, how can they claim to be free to want or do anything? Where are Jacques and his Master going? Are they simply occupying space, living mechanically until theydie, believing erroneously that they are in charge of their Destiny? Diderot intervenes to cheat our expectations of what fiction should be and do, and behaves like a provocative, ironic and unfailingly entertaining master of revels who finally show why Fate is not to be equated with doom.In the introduction to this brilliant new translation, David Coward explains the philosophical basis of Diderot's fascination with Fate and shows why Jacques the Fatalist pioneers techniques of fiction which, two centuries on, novelists still regard as exper;1
1215;9,78E+12;The Notebooks of Leonardo Da Vinci;432;s;Art;http://books.google.com/books/content?id=ZMp0pOmY3GEC&printsec=frontcover&img=1&zoom=1&source=gbs_api;Publisher_H;1952;Throughout his life Leonardo da Vinci carried notebooks in which he scribbled down ideas and opinions as they occurred - personal, domestic, scientific, philosophical, artistic - frequently accompanied by explanatory sketches and diagrams. Surviving manuscripts contain drafts of letters, fanciful fables, rough treatises on the art of painting or the power of water, descriptions of the Medici courts, even jokes. The present selection gives coherence to this rich kaleidoscope of ideas. From it emerges the portrait of a true Renaissance man, whose habit of rigorous enquiry, observation, and experiment, grounded on a philosophic system, led him to conceive of the universe as an organized cosmos corresponding to a work of art.;1
1216;9,78E+12;Eugene Onegin;240;s;Fiction;http://books.google.com/books/content?id=-l1D5bJ4K3UC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Publisher_C;1998;Eugene Onegin is the master work of the poet whom Russians regard as the fountainhead of their literature. Set in 1820s Russia, Pushkin's novel in verse follows the fates of three men and three women. It was Pushkin's own favourite work, and this new translation conveys the literal sense and the poetic music of the original. - ,Eugene Onegin is the master work of the poet whom Russians regard as the fountainhead of their literature. Set in 1820s imperial Russia, Pushkin's novel in verse follows the emotions and destiny of three men - Onegin the bored fop, Lensky the minor elegiast, and a stylized Pushkin himself - and the fates and affections of three women - Tatyana the provincial beauty, her sister Olga, and Pushkin's mercurial Muse. Engaging, full of suspense, and varied in tone, it also portrays a large cast of other characters and offers the reader many literary, philosophical, and autobiographical digressions, often in a highly satirical vein. Eugene Onegin was Pushkin's own favo;3
1217;9,78E+12;The Admirable Crichton - Peter Pan - When Wendy Grew Up - What Every Woman Knows - Mary Rose;384;h;Drama;http://books.google.com/books/content?id=nG97v_jo08IC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Publisher_J;1999;For some 20 years at the beginning of the century J M Barrie enjoyed enormous commercial success with a wide variety of plays, but he is best known for Peter Pan. It retains its popularity today, both in the original and in adaptations. As well as being the author of the greatest of allchildren's plays Barrie also wrote sophisticated social comedy and political satire, much of it now newly topical. The Admirable Crichton and What Every Woman Knows are shrewd and entertaining contributions to the politics of class and gender, while Mary Rose is one of the best ghost stories writtenfor the stage. Under the General Editorship of Michael Cordner, of the University of York, the texts of the plays have been newly edited and are supplemented with a scholarly introduction and detailed annotation.;2
1218;9,78E+12;La chartreuse de Parme;560;s;Fiction;http://books.google.com/books/content?id=9tysDhB2VMAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Publisher_A;1999;Follows the adventures of young Fabrizio del Dongo as he joins Napoleon's army just before the Battle of Waterloo, and struggles to keep hidden his love for Clelia amid the intrigues and secrets of the small court of Parma.;1
1219;9,78E+12;Mrs Dalloway;185;h;First loves;http://books.google.com/books/content?id=PXsgOHVTwjUC&printsec=frontcover&img=1&zoom=1&source=gbs_api;Publisher_C;2000;"Heralded as Woolf's greatest work of fiction, ""Mrs. Dalloway"" is not only a thorough rendering of a vivid human life, it is the outline on paper of human consciousness. In this vivid portrait of a single day in a woman's life, Clarissa Dalloway readies her house for friends and neighbors as she is is flooded with remembrances of faraway times.";1
1220;9,78E+12;Dubliners;207;h;Fiction;http://books.google.com/books/content?id=WkqR7nM198QC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Publisher_B;2000;Living overseas but writing, always, about his native city, Joyce made Dublin unforgettable. The stories in Dubliners show us truants, seducers, gossips, rally-drivers, generous hostesses, corrupt politicians, failing priests, amateur theologians, struggling musicians, moony adolescents, victims of domestic brutishness, sentimental aunts and poets, patriots earnest or cynical, and people striving to get by.;1
1221;9,78E+12;Evelina, Or, The History of a Young Lady's Entrance Into the World;455;h;Fiction;http://books.google.com/books/content?id=F-aBwgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;Publisher_C;2002;'Lord Orville did me the honour to hand me to the coach, talking all the way of the honour I had done him! O these fashionable people!' Frances Burney's first and most enduringly popular novel is a vivid, satirical, and seductive account of the pleasures and dangers of fashionable life in late eighteenth-century London. As she describes her heroine's entry into society, womanhood and, inevitably, love, Burney exposes the vulnerability of female innocence in an image-conscious and often cruel world where social snobbery and sexual aggression are played out in the public arenas of pleasure-gardens, theatre visits, and balls. But Evelina's innocence also makes her a shrewd commentator on the excesses and absurdities of manners and social ambitions - as well as attracting the attention of the eminently eligible Lord Orville. Evelina, comic and shrewd, is at once a guide to fashionable London, a satirical attack on the new consumerism, an investigation of women's position in the late eighte;1
1222;9,78E+12;Aesop's Fables;306;s;Fiction;http://books.google.com/books/content?id=K7XwvvIfXh4C&printsec=frontcover&img=1&zoom=1&source=gbs_api;Publisher_G;2002;A collection of familiar short moral tales.;1
